"","PM2.5","PM10","O3","NO2","SO2","CO","AQI","City","Date"
"hefei",91,63,6,30,2,7,91,"hefei","2015-05-14"
"fuzhou",157,106,189,41,7,9,189,"fuzhou","2015-05-14"
"lanzhou",157,276,69,37,6,8,276,"lanzhou","2015-05-14"
"guangzhou",72,24,4,15,6,6,72,"guangzhou","2015-05-14"
"guiyang",104,63,43,20,8,6,104,"guiyang","2015-05-14"
"haikou",34,16,9,2,1,4,34,"haikou","2015-05-14"
"shijiazhuang",78,37,49,5,4,1,78,"shijiazhuang","2015-05-14"
"haerbin",194,51,26,25,8,8,194,"haerbin","2015-05-14"
"zhengzhou",196,170,113,22,12,16,196,"zhengzhou","2015-05-14"
"wuhan",112,71,7,30,6,9,112,"wuhan","2015-05-14"
"changsha",134,58,16,11,8,6,134,"changsha","2015-05-14"
"nanjing",89,58,61,12,15,0,89,"nanjing","2015-05-14"
"nanchang",97,54,43,24,6,10,97,"nanchang","2015-05-14"
"changchun",59,83,32,38,5,8,83,"changchun","2015-05-14"
"shenyang",85,88,81,17,3,6,88,"shenyang","2015-05-14"
"xining",63,60,61,10,4,7,63,"xining","2015-05-14"
"xian",155,118,175,25,19,17,175,"xian","2015-05-14"
"jinan",169,180,118,22,25,9,180,"jinan","2015-05-14"
"taiyuan",93,88,142,16,13,10,142,"taiyuan","2015-05-14"
"chengdu",171,119,207,40,32,10,207,"chengdu","2015-05-14"
"kunming",72,58,41,6,4,7,72,"kunming","2015-05-14"
"hangzhou",82,36,106,27,4,9,106,"hangzhou","2015-05-14"
"nanning",42,19,34,4,3,7,42,"nanning","2015-05-14"
"huhehaote",104,71,36,29,4,4,104,"huhehaote","2015-05-14"
"yinchuan",149,77,32,17,34,7,149,"yinchuan","2015-05-14"
"lhasa",34,14,83,6,8,6,83,"lhasa","2015-05-14"
"wulumuqi",122,329,56,28,7,14,329,"wulumuqi","2015-05-14"
"beijing",55,17,33,5,2,3,55,"beijing","2015-05-14"
"chongqing",154,87,19,43,9,13,154,"chongqing","2015-05-14"
"hongkong",56,25,2,41,2,5,56,"hongkong","2015-05-14"
"zhuhai",57,34,46,9,3,7,57,"zhuhai","2015-05-14"
"shanghai",139,101,171,31,8,9,171,"shanghai","2015-05-14"
"tianjin",85,54,103,5,1,5,103,"tianjin","2015-05-14"
"xiamen",169,83,65,16,20,8,169,"xiamen","2015-05-14"
"shenzhen",78,54,50,13,7,17,78,"shenzhen","2015-05-14"
"dalian",85,69,201,19,8,9,201,"dalian","2015-05-14"
"qingdao",155,183,31,22,18,12,183,"qingdao","2015-05-14"
"ningbo",151,57,35,40,7,9,151,"ningbo","2015-05-14"
