"","PM2.5","PM10","O3","NO2","SO2","CO","AQI","City","Date"
"hefei",172,76,6,47,7,12,172,"hefei","2015-05-09"
"fuzhou",158,106,49,47,3,9,158,"fuzhou","2015-05-09"
"lanzhou",99,103,97,29,7,9,103,"lanzhou","2015-05-09"
"guangzhou",93,37,7,33,2,9,93,"guangzhou","2015-05-09"
"guiyang",153,93,45,29,8,9,153,"guiyang","2015-05-09"
"haikou",65,39,14,2,2,5,65,"haikou","2015-05-09"
"shijiazhuang",34,17,106,7,3,5,106,"shijiazhuang","2015-05-09"
"haerbin",42,40,28,23,4,4,42,"haerbin","2015-05-09"
"zhengzhou",151,75,68,17,3,15,151,"zhengzhou","2015-05-09"
"wuhan",95,58,50,34,5,12,95,"wuhan","2015-05-09"
"changsha",142,50,30,7,4,3,142,"changsha","2015-05-09"
"nanjing",153,70,48,17,8,0,153,"nanjing","2015-05-09"
"nanchang",119,57,43,5,7,8,119,"nanchang","2015-05-09"
"changchun",151,40,24,39,4,6,151,"changchun","2015-05-09"
"shenyang",68,36,28,32,8,4,68,"shenyang","2015-05-09"
"xining",74,57,39,27,4,8,74,"xining","2015-05-09"
"xian",82,62,86,12,11,19,86,"xian","2015-05-09"
"jinan",178,89,43,40,38,24,178,"jinan","2015-05-09"
"taiyuan",114,144,83,7,5,10,144,"taiyuan","2015-05-09"
"chengdu",132,71,197,16,4,6,197,"chengdu","2015-05-09"
"kunming",102,57,65,23,5,7,102,"kunming","2015-05-09"
"hangzhou",78,28,83,17,7,3,83,"hangzhou","2015-05-09"
"nanning",80,42,32,10,3,9,80,"nanning","2015-05-09"
"huhehaote",50,29,41,8,4,6,50,"huhehaote","2015-05-09"
"yinchuan",137,72,34,3,2,3,137,"yinchuan","2015-05-09"
"lhasa",95,51,49,22,13,8,95,"lhasa","2015-05-09"
"wulumuqi",70,37,72,6,7,7,72,"wulumuqi","2015-05-09"
"beijing",107,44,26,23,2,23,107,"beijing","2015-05-09"
"chongqing",107,64,138,51,6,8,138,"chongqing","2015-05-09"
"hongkong",63,24,3,50,5,6,63,"hongkong","2015-05-09"
"zhuhai",72,22,24,26,4,7,72,"zhuhai","2015-05-09"
"shanghai",80,36,50,20,6,10,80,"shanghai","2015-05-09"
"tianjin",57,30,44,11,2,5,57,"tianjin","2015-05-09"
"xiamen",63,33,44,38,14,5,63,"xiamen","2015-05-09"
"shenzhen",97,42,30,44,8,16,97,"shenzhen","2015-05-09"
"dalian",82,54,38,27,6,4,82,"dalian","2015-05-09"
"qingdao",102,54,50,12,5,10,102,"qingdao","2015-05-09"
"ningbo",139,66,50,40,13,6,139,"ningbo","2015-05-09"
