"","PM2.5","PM10","O3","NO2","SO2","CO","AQI","City","Date"
"hefei",68,36,14,2,9,26,68,"hefei","2015-05-16"
"fuzhou",132,83,6,30,3,7,132,"fuzhou","2015-05-16"
"lanzhou",68,51,10,6,5,8,68,"lanzhou","2015-05-16"
"guangzhou",50,30,14,16,2,7,50,"guangzhou","2015-05-16"
"guiyang",61,13,0,3,7,8,61,"guiyang","2015-05-16"
"haikou",55,28,3,1,5,31,55,"haikou","2015-05-16"
"shijiazhuang",63,30,53,2,3,3,63,"shijiazhuang","2015-05-16"
"haerbin",50,45,12,2,2,22,50,"haerbin","2015-05-16"
"zhengzhou",155,65,14,9,14,27,155,"zhengzhou","2015-05-16"
"wuhan",175,112,46,17,5,16,175,"wuhan","2015-05-16"
"changsha",139,58,4,8,7,29,139,"changsha","2015-05-16"
"nanjing",63,73,10,6,0,27,73,"nanjing","2015-05-16"
"nanchang",127,58,8,11,13,24,127,"nanchang","2015-05-16"
"changchun",217,38,22,6,7,22,217,"changchun","2015-05-16"
"shenyang",57,32,27,21,4,3,57,"shenyang","2015-05-16"
"xining",76,40,5,2,7,7,76,"xining","2015-05-16"
"xian",152,122,10,34,14,24,152,"xian","2015-05-16"
"jinan",119,61,36,7,8,11,119,"jinan","2015-05-16"
"taiyuan",59,31,7,7,15,22,59,"taiyuan","2015-05-16"
"chengdu",142,91,45,38,12,10,142,"chengdu","2015-05-16"
"kunming",25,21,6,4,8,22,25,"kunming","2015-05-16"
"hangzhou",169,81,29,29,18,11,169,"hangzhou","2015-05-16"
"nanning",38,34,5,4,7,27,38,"nanning","2015-05-16"
"huhehaote",68,25,9,7,3,3,68,"huhehaote","2015-05-16"
"yinchuan",82,28,7,4,13,14,82,"yinchuan","2015-05-16"
"lhasa",46,32,8,9,7,15,46,"lhasa","2015-05-16"
"wulumuqi",78,60,16,6,10,18,78,"wulumuqi","2015-05-16"
"beijing",59,20,47,3,2,3,59,"beijing","2015-05-16"
"chongqing",117,73,26,22,15,29,117,"chongqing","2015-05-16"
"hongkong",57,31,3,48,2,4,57,"hongkong","2015-05-16"
"zhuhai",68,40,21,10,3,8,68,"zhuhai","2015-05-16"
"shanghai",104,50,55,14,7,7,104,"shanghai","2015-05-16"
"tianjin",72,36,39,7,3,7,72,"tianjin","2015-05-16"
"xiamen",142,55,0,14,9,7,142,"xiamen","2015-05-16"
"shenzhen",63,67,25,20,6,14,67,"shenzhen","2015-05-16"
"dalian",25,28,9,2,5,21,28,"dalian","2015-05-16"
"qingdao",34,101,48,16,8,7,101,"qingdao","2015-05-16"
"ningbo",102,42,59,12,8,8,102,"ningbo","2015-05-16"
