"","PM2.5","PM10","O3","NO2","SO2","CO","AQI","City","Date"
"hefei",53,69,13,2,8,27,69,"hefei","2015-05-19"
"fuzhou",132,83,6,30,3,7,132,"fuzhou","2015-05-19"
"lanzhou",68,51,10,6,5,8,68,"lanzhou","2015-05-19"
"guangzhou",50,30,14,16,2,7,50,"guangzhou","2015-05-19"
"guiyang",61,13,0,3,7,8,61,"guiyang","2015-05-19"
"haikou",55,28,3,1,5,31,55,"haikou","2015-05-19"
"shijiazhuang",63,30,53,2,3,3,63,"shijiazhuang","2015-05-19"
"haerbin",50,45,12,2,2,22,50,"haerbin","2015-05-19"
"zhengzhou",155,65,14,9,14,27,155,"zhengzhou","2015-05-19"
"wuhan",172,110,58,10,4,15,172,"wuhan","2015-05-19"
"changsha",139,58,4,8,7,29,139,"changsha","2015-05-19"
"nanjing",63,73,10,6,0,27,73,"nanjing","2015-05-19"
"nanchang",127,58,8,11,13,24,127,"nanchang","2015-05-19"
"changchun",217,38,22,6,7,22,217,"changchun","2015-05-19"
"shenyang",57,32,27,21,4,3,57,"shenyang","2015-05-19"
"xining",76,40,5,2,7,7,76,"xining","2015-05-19"
"xian",153,122,9,33,14,25,153,"xian","2015-05-19"
"jinan",119,61,36,7,8,11,119,"jinan","2015-05-19"
"taiyuan",59,31,7,7,15,22,59,"taiyuan","2015-05-19"
"chengdu",142,91,45,38,12,10,142,"chengdu","2015-05-19"
"kunming",25,21,6,4,8,22,25,"kunming","2015-05-19"
"hangzhou",169,81,29,29,18,11,169,"hangzhou","2015-05-19"
"nanning",38,34,5,4,7,27,38,"nanning","2015-05-19"
"huhehaote",68,25,9,7,3,3,68,"huhehaote","2015-05-19"
"yinchuan",82,28,7,4,13,14,82,"yinchuan","2015-05-19"
"lhasa",46,32,8,9,7,15,46,"lhasa","2015-05-19"
"wulumuqi",78,60,16,6,10,18,78,"wulumuqi","2015-05-19"
"beijing",57,35,49,4,2,3,57,"beijing","2015-05-19"
"chongqing",117,73,26,22,15,29,117,"chongqing","2015-05-19"
"hongkong",57,31,3,48,2,4,57,"hongkong","2015-05-19"
"zhuhai",68,40,21,10,3,8,68,"zhuhai","2015-05-19"
"shanghai",68,58,58,15,6,7,68,"shanghai","2015-05-19"
"tianjin",72,36,44,7,3,7,72,"tianjin","2015-05-19"
"xiamen",142,55,0,14,9,7,142,"xiamen","2015-05-19"
"shenzhen",63,67,25,20,6,14,67,"shenzhen","2015-05-19"
"dalian",25,28,9,2,5,21,28,"dalian","2015-05-19"
"qingdao",25,110,49,14,8,7,110,"qingdao","2015-05-19"
"ningbo",102,42,59,12,8,8,102,"ningbo","2015-05-19"
