"","PM2.5","PM10","O3","NO2","SO2","CO","AQI","City","Date"
"hefei",175,121,8,50,11,17,175,"hefei","2015-05-07"
"fuzhou",129,71,110,15,3,8,129,"fuzhou","2015-05-07"
"lanzhou",95,59,59,28,54,11,95,"lanzhou","2015-05-07"
"guangzhou",61,38,6,15,6,6,61,"guangzhou","2015-05-07"
"guiyang",76,40,44,9,2,6,76,"guiyang","2015-05-07"
"haikou",53,31,12,7,1,5,53,"haikou","2015-05-07"
"shijiazhuang",165,103,45,22,39,7,165,"shijiazhuang","2015-05-07"
"haerbin",42,25,28,11,3,2,42,"haerbin","2015-05-07"
"zhengzhou",157,65,81,15,15,13,157,"zhengzhou","2015-05-07"
"wuhan",151,50,12,16,5,11,151,"wuhan","2015-05-07"
"changsha",25,36,31,4,6,10,36,"changsha","2015-05-07"
"nanjing",162,90,119,33,8,0,162,"nanjing","2015-05-07"
"nanchang",97,49,129,17,4,9,129,"nanchang","2015-05-07"
"changchun",107,121,39,17,3,6,121,"changchun","2015-05-07"
"shenyang",102,64,34,25,3,4,102,"shenyang","2015-05-07"
"xining",155,70,35,19,1,9,155,"xining","2015-05-07"
"xian",91,63,34,11,11,21,91,"xian","2015-05-07"
"jinan",134,57,47,10,15,8,134,"jinan","2015-05-07"
"taiyuan",154,101,33,14,54,14,154,"taiyuan","2015-05-07"
"chengdu",78,44,203,12,4,7,203,"chengdu","2015-05-07"
"kunming",107,56,72,8,11,7,107,"kunming","2015-05-07"
"hangzhou",142,59,204,11,8,8,204,"hangzhou","2015-05-07"
"nanning",78,34,48,6,3,7,78,"nanning","2015-05-07"
"huhehaote",57,55,44,17,4,5,57,"huhehaote","2015-05-07"
"yinchuan",82,31,29,7,9,3,82,"yinchuan","2015-05-07"
"lhasa",68,34,43,20,10,8,68,"lhasa","2015-05-07"
"wulumuqi",95,90,47,30,6,12,95,"wulumuqi","2015-05-07"
"beijing",153,86,14,17,12,7,153,"beijing","2015-05-07"
"chongqing",78,57,62,6,4,7,78,"chongqing","2015-05-07"
"hongkong",58,26,1,39,5,5,58,"hongkong","2015-05-07"
"zhuhai",38,26,17,7,2,6,38,"zhuhai","2015-05-07"
"shanghai",78,82,43,13,6,5,82,"shanghai","2015-05-07"
"tianjin",191,148,56,15,19,9,191,"tianjin","2015-05-07"
"xiamen",153,43,46,8,4,6,153,"xiamen","2015-05-07"
"shenzhen",61,60,41,15,6,13,61,"shenzhen","2015-05-07"
"dalian",80,31,42,12,4,5,80,"dalian","2015-05-07"
"qingdao",117,62,40,19,14,10,117,"qingdao","2015-05-07"
"ningbo",68,43,51,14,7,6,68,"ningbo","2015-05-07"
