"","PM2.5","PM10","O3","NO2","SO2","CO","AQI","City","Date"
"hefei",176,125,8,43,18,15,176,"hefei","2015-05-08"
"fuzhou",107,67,110,17,3,7,110,"fuzhou","2015-05-08"
"lanzhou",95,59,59,28,54,11,95,"lanzhou","2015-05-08"
"guangzhou",65,16,3,12,6,6,65,"guangzhou","2015-05-08"
"guiyang",76,40,44,9,2,6,76,"guiyang","2015-05-08"
"haikou",53,31,12,7,1,5,53,"haikou","2015-05-08"
"shijiazhuang",151,81,45,23,53,9,151,"shijiazhuang","2015-05-08"
"haerbin",46,25,29,15,3,2,46,"haerbin","2015-05-08"
"zhengzhou",63,59,81,14,13,13,81,"zhengzhou","2015-05-08"
"wuhan",117,54,19,30,4,11,117,"wuhan","2015-05-08"
"changsha",117,41,31,12,10,10,117,"changsha","2015-05-08"
"nanjing",164,93,119,23,14,0,164,"nanjing","2015-05-08"
"nanchang",152,40,256,28,6,9,256,"nanchang","2015-05-08"
"changchun",164,23,39,10,5,5,164,"changchun","2015-05-08"
"shenyang",55,45,34,17,6,4,55,"shenyang","2015-05-08"
"xining",155,70,35,19,1,9,155,"xining","2015-05-08"
"xian",107,55,32,14,12,21,107,"xian","2015-05-08"
"jinan",107,59,46,13,15,8,107,"jinan","2015-05-08"
"taiyuan",151,106,32,28,54,11,151,"taiyuan","2015-05-08"
"chengdu",97,52,203,19,5,6,203,"chengdu","2015-05-08"
"kunming",129,65,72,17,9,7,129,"kunming","2015-05-08"
"hangzhou",175,111,204,50,12,8,204,"hangzhou","2015-05-08"
"nanning",78,34,48,6,3,7,78,"nanning","2015-05-08"
"huhehaote",57,55,44,17,4,5,57,"huhehaote","2015-05-08"
"yinchuan",82,31,29,7,9,3,82,"yinchuan","2015-05-08"
"lhasa",68,34,43,20,10,8,68,"lhasa","2015-05-08"
"wulumuqi",95,90,47,30,6,12,95,"wulumuqi","2015-05-08"
"beijing",155,97,10,33,10,5,155,"beijing","2015-05-08"
"chongqing",91,53,62,18,4,8,91,"chongqing","2015-05-08"
"hongkong",44,20,2,50,6,5,50,"hongkong","2015-05-08"
"zhuhai",34,12,17,7,3,6,34,"zhuhai","2015-05-08"
"shanghai",91,31,37,25,8,5,91,"shanghai","2015-05-08"
"tianjin",192,121,56,17,37,7,192,"tianjin","2015-05-08"
"xiamen",104,46,46,12,5,6,104,"xiamen","2015-05-08"
"shenzhen",53,20,38,14,6,13,53,"shenzhen","2015-05-08"
"dalian",76,36,38,12,4,5,76,"dalian","2015-05-08"
"qingdao",164,94,37,19,8,12,164,"qingdao","2015-05-08"
"ningbo",68,39,44,14,7,7,68,"ningbo","2015-05-08"
