"","PM2.5","PM10","O3","NO2","SO2","CO","AQI","City","Date"
"hefei",160,92,6,54,8,11,160,"hefei",2015-05-06
"fuzhou",164,97,32,38,5,13,164,"fuzhou",2015-05-06
"lanzhou",151,127,100,31,8,7,151,"lanzhou",2015-05-06
"guangzhou",34,19,7,24,2,7,34,"guangzhou",2015-05-06
"guiyang",157,75,49,23,7,12,157,"guiyang",2015-05-06
"haikou",70,37,13,4,2,5,70,"haikou",2015-05-06
"shijiazhuang",91,60,53,20,45,5,91,"shijiazhuang",2015-05-06
"haerbin",38,23,23,6,9,2,38,"haerbin",2015-05-06
"zhengzhou",194,132,46,28,15,18,194,"zhengzhou",2015-05-06
"wuhan",162,76,12,17,9,12,162,"wuhan",2015-05-06
"changsha",155,62,42,7,8,13,155,"changsha",2015-05-06
"nanjing",212,139,28,35,26,0,212,"nanjing",2015-05-06
"nanchang",160,80,53,14,7,11,160,"nanchang",2015-05-06
"changchun",137,71,28,24,4,6,137,"changchun",2015-05-06
"shenyang",151,88,29,40,12,9,151,"shenyang",2015-05-06
"xining",85,81,41,8,2,6,85,"xining",2015-05-06
"xian",157,86,117,13,16,22,157,"xian",2015-05-06
"jinan",187,158,32,33,36,16,187,"jinan",2015-05-06
"taiyuan",163,126,26,20,10,24,163,"taiyuan",2015-05-06
"chengdu",182,108,201,48,8,11,201,"chengdu",2015-05-06
"kunming",132,68,92,14,11,7,132,"kunming",2015-05-06
"hangzhou",175,103,123,24,15,6,175,"hangzhou",2015-05-06
"nanning",157,66,49,12,3,10,157,"nanning",2015-05-06
"huhehaote",42,53,40,16,3,4,53,"huhehaote",2015-05-06
"yinchuan",132,85,30,22,8,8,132,"yinchuan",2015-05-06
"lhasa",68,29,50,16,8,6,68,"lhasa",2015-05-06
"wulumuqi",61,73,54,29,4,8,73,"wulumuqi",2015-05-06
"beijing",158,87,22,27,4,6,158,"beijing",2015-05-06
"chongqing",104,67,99,33,11,10,104,"chongqing",2015-05-06
"hongkong",60,25,2,46,5,5,60,"hongkong",2015-05-06
"zhuhai",50,21,19,5,3,5,50,"zhuhai",2015-05-06
"shanghai",165,72,28,22,7,5,165,"shanghai",2015-05-06
"tianjin",160,64,23,15,6,6,160,"tianjin",2015-05-06
"xiamen",171,86,42,29,27,10,171,"xiamen",2015-05-06
"shenzhen",89,58,33,21,10,14,89,"shenzhen",2015-05-06
"dalian",53,66,36,29,2,5,66,"dalian",2015-05-06
"qingdao",124,81,20,31,9,8,124,"qingdao",2015-05-06
"ningbo",172,109,33,38,20,11,172,"ningbo",2015-05-06
