"","PM2.5","PM10","O3","NO2","SO2","CO","AQI","City","Date"
"hefei",164,125,36,16,10,20,164,"hefei","2015-05-22"
"fuzhou",129,50,46,19,2,7,129,"fuzhou","2015-05-22"
"lanzhou",74,59,19,2,4,14,74,"lanzhou","2015-05-22"
"guangzhou",183,71,3,33,6,20,183,"guangzhou","2015-05-22"
"guiyang",109,49,0,15,7,11,109,"guiyang","2015-05-22"
"haikou",55,27,7,6,12,24,55,"haikou","2015-05-22"
"shijiazhuang",164,95,3,56,49,9,164,"shijiazhuang","2015-05-22"
"haerbin",89,63,12,4,5,17,89,"haerbin","2015-05-22"
"zhengzhou",159,152,35,14,15,18,159,"zhengzhou","2015-05-22"
"wuhan",235,165,14,60,7,14,235,"wuhan","2015-05-22"
"changsha",177,86,4,7,7,21,177,"changsha","2015-05-22"
"nanjing",154,64,27,12,0,18,154,"nanjing","2015-05-22"
"nanchang",198,124,22,27,18,23,198,"nanchang","2015-05-22"
"changchun",159,80,18,9,8,21,159,"changchun","2015-05-22"
"shenyang",104,54,31,26,28,10,104,"shenyang","2015-05-22"
"xining",76,23,7,7,8,12,76,"xining","2015-05-22"
"xian",142,92,14,20,14,18,142,"xian","2015-05-22"
"jinan",178,167,72,23,39,13,178,"jinan","2015-05-22"
"taiyuan",154,89,34,13,21,17,154,"taiyuan","2015-05-22"
"chengdu",155,72,32,12,7,9,155,"chengdu","2015-05-22"
"kunming",65,44,8,5,7,16,65,"kunming","2015-05-22"
"hangzhou",132,52,13,22,7,5,132,"hangzhou","2015-05-22"
"nanning",89,36,4,4,9,24,89,"nanning","2015-05-22"
"huhehaote",155,71,46,32,6,8,155,"huhehaote","2015-05-22"
"yinchuan",107,54,7,12,2,18,107,"yinchuan","2015-05-22"
"lhasa",99,34,8,4,6,14,99,"lhasa","2015-05-22"
"wulumuqi",78,41,22,6,12,14,78,"wulumuqi","2015-05-22"
"beijing",183,104,24,32,11,9,183,"beijing","2015-05-22"
"chongqing",74,41,17,4,10,20,74,"chongqing","2015-05-22"
"hongkong",71,33,1,39,7,8,71,"hongkong","2015-05-22"
"zhuhai",107,36,12,28,6,15,107,"zhuhai","2015-05-22"
"shanghai",99,35,27,16,5,5,99,"shanghai","2015-05-22"
"tianjin",177,94,17,28,20,21,177,"tianjin","2015-05-22"
"xiamen",153,62,0,11,5,8,153,"xiamen","2015-05-22"
"shenzhen",144,89,19,31,23,20,144,"shenzhen","2015-05-22"
"dalian",97,67,42,14,5,20,97,"dalian","2015-05-22"
"qingdao",80,54,42,10,9,5,80,"qingdao","2015-05-22"
"ningbo",102,42,34,16,8,8,102,"ningbo","2015-05-22"
