"","PM2.5","PM10","O3","NO2","SO2","CO","AQI","City","Date"
"hefei",147,102,8,40,2,9,147,"hefei",2015-05-05
"fuzhou",104,71,56,21,3,9,104,"fuzhou",2015-05-05
"lanzhou",124,96,50,19,6,16,124,"lanzhou",2015-05-05
"guangzhou",68,40,9,16,4,6,68,"guangzhou",2015-05-05
"guiyang",85,59,49,14,6,6,85,"guiyang",2015-05-05
"haikou",65,31,13,2,2,5,65,"haikou",2015-05-05
"shijiazhuang",57,54,190,6,11,4,190,"shijiazhuang",2015-05-05
"haerbin",46,17,25,11,3,3,46,"haerbin",2015-05-05
"zhengzhou",220,123,106,17,6,19,220,"zhengzhou",2015-05-05
"wuhan",160,83,34,18,11,12,160,"wuhan",2015-05-05
"changsha",124,55,49,1,6,12,124,"changsha",2015-05-05
"nanjing",160,107,155,34,13,0,160,"nanjing",2015-05-05
"nanchang",117,61,124,11,6,10,124,"nanchang",2015-05-05
"changchun",185,178,32,12,4,4,185,"changchun",2015-05-05
"shenyang",38,28,25,13,1,3,38,"shenyang",2015-05-05
"xining",82,35,47,12,5,8,82,"xining",2015-05-05
"xian",65,47,92,9,13,20,92,"xian",2015-05-05
"jinan",159,60,78,35,20,18,159,"jinan",2015-05-05
"taiyuan",158,86,29,8,4,22,158,"taiyuan",2015-05-05
"chengdu",158,70,152,16,5,9,158,"chengdu",2015-05-05
"kunming",117,70,46,30,11,6,117,"kunming",2015-05-05
"hangzhou",149,81,186,22,4,6,186,"hangzhou",2015-05-05
"nanning",93,51,41,12,3,9,93,"nanning",2015-05-05
"huhehaote",34,26,44,22,4,3,44,"huhehaote",2015-05-05
"yinchuan",117,64,27,30,13,7,117,"yinchuan",2015-05-05
"lhasa",76,50,56,14,6,8,76,"lhasa",2015-05-05
"wulumuqi",34,60,47,15,5,9,60,"wulumuqi",2015-05-05
"beijing",65,50,35,7,2,2,65,"beijing",2015-05-05
"chongqing",158,82,19,27,9,13,158,"chongqing",2015-05-05
"hongkong",58,24,3,43,6,5,58,"hongkong",2015-05-05
"zhuhai",42,38,25,4,3,6,42,"zhuhai",2015-05-05
"shanghai",154,77,40,17,9,6,154,"shanghai",2015-05-05
"tianjin",124,89,46,8,3,6,124,"tianjin",2015-05-05
"xiamen",154,59,37,15,10,9,154,"xiamen",2015-05-05
"shenzhen",72,49,44,15,6,14,72,"shenzhen",2015-05-05
"dalian",42,73,107,11,2,5,107,"dalian",2015-05-05
"qingdao",129,88,34,19,12,11,129,"qingdao",2015-05-05
"ningbo",144,78,46,22,10,8,144,"ningbo",2015-05-05
