"","PM2.5","PM10","O3","NO2","SO2","CO","AQI","City","Date"
"hefei",114,76,47,17,11,19,114,"hefei","2015-05-21"
"fuzhou",25,10,50,6,1,5,50,"fuzhou","2015-05-21"
"lanzhou",102,68,30,6,6,9,102,"lanzhou","2015-05-21"
"guangzhou",80,48,4,29,7,9,80,"guangzhou","2015-05-21"
"guiyang",142,53,0,7,11,8,142,"guiyang","2015-05-21"
"haikou",30,25,3,2,5,24,30,"haikou","2015-05-21"
"shijiazhuang",87,35,36,6,4,3,87,"shijiazhuang","2015-05-21"
"haerbin",53,64,11,3,4,24,64,"haerbin","2015-05-21"
"zhengzhou",199,98,26,25,17,18,199,"zhengzhou","2015-05-21"
"wuhan",1,74,46,31,8,9,74,"wuhan","2015-05-21"
"changsha",154,69,3,7,3,28,154,"changsha","2015-05-21"
"nanjing",104,69,16,12,0,24,104,"nanjing","2015-05-21"
"nanchang",25,31,12,11,10,20,31,"nanchang","2015-05-21"
"changchun",76,64,30,8,7,19,76,"changchun","2015-05-21"
"shenyang",129,39,31,27,6,11,129,"shenyang","2015-05-21"
"xining",147,67,11,3,8,11,147,"xining","2015-05-21"
"xian",166,116,11,13,15,14,166,"xian","2015-05-21"
"jinan",119,65,41,21,5,7,119,"jinan","2015-05-21"
"taiyuan",153,79,22,19,17,13,153,"taiyuan","2015-05-21"
"chengdu",93,26,6,36,5,7,93,"chengdu","2015-05-21"
"kunming",42,14,11,4,7,17,42,"kunming","2015-05-21"
"hangzhou",82,39,60,13,7,6,82,"hangzhou","2015-05-21"
"nanning",87,44,17,4,8,26,87,"nanning","2015-05-21"
"huhehaote",122,86,44,12,8,6,122,"huhehaote","2015-05-21"
"yinchuan",154,67,12,14,5,11,154,"yinchuan","2015-05-21"
"lhasa",25,9,3,3,4,13,25,"lhasa","2015-05-21"
"wulumuqi",157,436,12,6,13,18,436,"wulumuqi","2015-05-21"
"beijing",97,79,61,10,3,6,97,"beijing","2015-05-21"
"chongqing",163,76,14,4,10,20,163,"chongqing","2015-05-21"
"hongkong",22,14,18,44,2,5,44,"hongkong","2015-05-21"
"zhuhai",53,24,21,21,4,10,53,"zhuhai","2015-05-21"
"shanghai",89,29,48,11,5,4,89,"shanghai","2015-05-21"
"tianjin",153,66,38,17,19,14,153,"tianjin","2015-05-21"
"xiamen",63,19,0,16,1,7,63,"xiamen","2015-05-21"
"shenzhen",50,31,38,11,5,10,50,"shenzhen","2015-05-21"
"dalian",142,76,15,16,9,22,142,"dalian","2015-05-21"
"qingdao",93,65,58,23,12,14,93,"qingdao","2015-05-21"
"ningbo",63,41,55,20,9,6,63,"ningbo","2015-05-21"
