"","PM2.5","PM10","O3","NO2","SO2","CO","AQI","City","Date"
"hefei",129,73,6,5,1,8,129,"hefei",2015-05-02
"fuzhou",74,51,40,9,3,6,74,"fuzhou",2015-05-02
"lanzhou",55,21,62,9,7,5,62,"lanzhou",2015-05-02
"guangzhou",53,32,5,13,22,5,53,"guangzhou",2015-05-02
"guiyang",114,47,103,14,11,10,114,"guiyang",2015-05-02
"haikou",55,27,14,4,2,11,55,"haikou",2015-05-02
"shijiazhuang",169,87,119,20,20,6,169,"shijiazhuang",2015-05-02
"haerbin",134,59,36,12,10,2,134,"haerbin",2015-05-02
"zhengzhou",216,136,81,27,30,17,216,"zhengzhou",2015-05-02
"wuhan",144,65,28,18,4,16,144,"wuhan",2015-05-02
"changsha",127,31,21,13,10,10,127,"changsha",2015-05-02
"nanjing",127,57,44,28,14,0,127,"nanjing",2015-05-02
"nanchang",70,22,35,8,8,9,70,"nanchang",2015-05-02
"changchun",99,54,34,19,4,7,99,"changchun",2015-05-02
"shenyang",156,60,35,25,4,5,156,"shenyang",2015-05-02
"xining",95,41,44,10,2,9,95,"xining",2015-05-02
"xian",70,44,61,9,12,20,70,"xian",2015-05-02
"jinan",184,111,44,37,19,15,184,"jinan",2015-05-02
"taiyuan",149,119,36,8,4,20,149,"taiyuan",2015-05-02
"chengdu",161,108,142,36,21,11,161,"chengdu",2015-05-02
"kunming",78,56,46,8,17,10,78,"kunming",2015-05-02
"hangzhou",99,35,44,8,5,5,99,"hangzhou",2015-05-02
"nanning",102,46,42,14,3,8,102,"nanning",2015-05-02
"huhehaote",46,73,73,1,2,2,73,"huhehaote",2015-05-02
"yinchuan",162,123,36,5,1,11,162,"yinchuan",2015-05-02
"lhasa",63,30,43,20,7,7,63,"lhasa",2015-05-02
"wulumuqi",102,91,54,27,4,11,102,"wulumuqi",2015-05-02
"beijing",144,75,22,9,2,7,144,"beijing",2015-05-02
"chongqing",91,53,59,27,5,9,91,"chongqing",2015-05-02
"hongkong",27,15,6,26,4,2,27,"hongkong",2015-05-02
"zhuhai",50,39,19,6,4,6,50,"zhuhai",2015-05-02
"shanghai",144,52,33,15,7,8,144,"shanghai",2015-05-02
"tianjin",132,50,27,6,1,7,132,"tianjin",2015-05-02
"xiamen",147,54,32,17,23,7,147,"xiamen",2015-05-02
"shenzhen",61,44,21,20,24,11,61,"shenzhen",2015-05-02
"dalian",109,48,27,28,2,5,109,"dalian",2015-05-02
"qingdao",153,92,31,18,6,9,153,"qingdao",2015-05-02
"ningbo",114,53,49,14,8,12,114,"ningbo",2015-05-02
