"","PM2.5","PM10","O3","NO2","SO2","CO","AQI","City","Date"
"hefei",93,78,5,31,2,5,93,"hefei","2015-05-10"
"fuzhou",25,33,111,7,2,4,111,"fuzhou","2015-05-10"
"lanzhou",124,159,110,35,32,11,159,"lanzhou","2015-05-10"
"guangzhou",46,24,12,22,3,6,46,"guangzhou","2015-05-10"
"guiyang",152,69,41,25,7,6,152,"guiyang","2015-05-10"
"haikou",46,20,14,1,1,5,46,"haikou","2015-05-10"
"shijiazhuang",78,52,44,15,13,3,78,"shijiazhuang","2015-05-10"
"haerbin",13,24,30,5,5,4,30,"haerbin","2015-05-10"
"zhengzhou",132,74,42,22,12,10,132,"zhengzhou","2015-05-10"
"wuhan",102,107,23,22,0,7,107,"wuhan","2015-05-10"
"changsha",144,80,30,17,10,5,144,"changsha","2015-05-10"
"nanjing",65,94,31,16,11,0,94,"nanjing","2015-05-10"
"nanchang",129,75,42,14,19,6,129,"nanchang","2015-05-10"
"changchun",46,24,28,21,2,8,46,"changchun","2015-05-10"
"shenyang",68,20,37,26,2,5,68,"shenyang","2015-05-10"
"xining",112,63,40,19,2,8,112,"xining","2015-05-10"
"xian",109,72,42,16,21,15,109,"xian","2015-05-10"
"jinan",102,71,25,28,50,7,102,"jinan","2015-05-10"
"taiyuan",61,53,41,12,22,8,61,"taiyuan","2015-05-10"
"chengdu",162,138,107,44,14,6,162,"chengdu","2015-05-10"
"kunming",109,55,64,12,3,8,109,"kunming","2015-05-10"
"hangzhou",78,52,31,11,5,3,78,"hangzhou","2015-05-10"
"nanning",50,23,78,6,5,7,78,"nanning","2015-05-10"
"huhehaote",85,52,41,11,3,5,85,"huhehaote","2015-05-10"
"yinchuan",85,40,29,14,28,8,85,"yinchuan","2015-05-10"
"lhasa",72,11,50,23,10,9,72,"lhasa","2015-05-10"
"wulumuqi",70,84,30,19,4,12,84,"wulumuqi","2015-05-10"
"beijing",34,28,29,7,2,3,34,"beijing","2015-05-10"
"chongqing",82,68,89,34,11,9,89,"chongqing","2015-05-10"
"hongkong",51,23,2,79,10,5,79,"hongkong","2015-05-10"
"zhuhai",74,37,30,20,10,9,74,"zhuhai","2015-05-10"
"shanghai",152,52,22,22,11,6,152,"shanghai","2015-05-10"
"tianjin",99,43,35,10,6,10,99,"tianjin","2015-05-10"
"xiamen",68,40,46,13,4,5,68,"xiamen","2015-05-10"
"shenzhen",61,28,33,16,6,18,61,"shenzhen","2015-05-10"
"dalian",89,40,33,18,5,7,89,"dalian","2015-05-10"
"qingdao",80,63,33,14,13,10,80,"qingdao","2015-05-10"
"ningbo",80,46,38,19,10,7,80,"ningbo","2015-05-10"
