"","PM2.5","PM10","O3","NO2","SO2","CO","AQI","City","Date"
"hefei",151,55,27,4,14,26,151,"hefei","2015-05-18"
"fuzhou",95,42,36,16,2,7,95,"fuzhou","2015-05-18"
"lanzhou",152,154,27,33,9,19,154,"lanzhou","2015-05-18"
"guangzhou",57,37,10,14,7,6,57,"guangzhou","2015-05-18"
"guiyang",153,76,0,18,14,10,153,"guiyang","2015-05-18"
"haikou",55,30,3,1,5,31,55,"haikou","2015-05-18"
"shijiazhuang",93,81,37,4,10,3,93,"shijiazhuang","2015-05-18"
"haerbin",87,55,20,2,3,14,87,"haerbin","2015-05-18"
"zhengzhou",233,151,36,25,15,28,233,"zhengzhou","2015-05-18"
"wuhan",221,102,3,33,5,12,221,"wuhan","2015-05-18"
"changsha",89,30,4,8,7,25,89,"changsha","2015-05-18"
"nanjing",173,76,13,13,0,27,173,"nanjing","2015-05-18"
"nanchang",139,63,16,10,12,23,139,"nanchang","2015-05-18"
"changchun",50,49,19,2,6,13,50,"changchun","2015-05-18"
"shenyang",38,9,18,17,3,4,38,"shenyang","2015-05-18"
"xining",163,124,22,15,11,13,163,"xining","2015-05-18"
"xian",158,119,16,22,15,26,158,"xian","2015-05-18"
"jinan",171,143,5,62,52,38,171,"jinan","2015-05-18"
"taiyuan",55,51,11,9,13,21,55,"taiyuan","2015-05-18"
"chengdu",163,62,49,27,10,10,163,"chengdu","2015-05-18"
"kunming",76,43,7,7,9,21,76,"kunming","2015-05-18"
"hangzhou",122,60,9,28,5,10,122,"hangzhou","2015-05-18"
"nanning",70,34,15,3,10,26,70,"nanning","2015-05-18"
"huhehaote",21,28,13,2,2,2,28,"huhehaote","2015-05-18"
"yinchuan",95,63,7,21,11,16,95,"yinchuan","2015-05-18"
"lhasa",132,54,36,9,10,7,132,"lhasa","2015-05-18"
"wulumuqi",50,21,5,9,9,17,50,"wulumuqi","2015-05-18"
"beijing",50,57,36,8,2,2,57,"beijing","2015-05-18"
"chongqing",153,94,36,10,17,25,153,"chongqing","2015-05-18"
"hongkong",6,11,5,27,1,3,27,"hongkong","2015-05-18"
"zhuhai",59,27,17,6,4,5,59,"zhuhai","2015-05-18"
"shanghai",164,87,22,28,6,11,164,"shanghai","2015-05-18"
"tianjin",59,60,34,4,3,6,60,"tianjin","2015-05-18"
"xiamen",78,31,0,7,5,5,78,"xiamen","2015-05-18"
"shenzhen",61,43,27,22,6,13,61,"shenzhen","2015-05-18"
"dalian",17,56,14,5,10,23,56,"dalian","2015-05-18"
"qingdao",161,115,21,35,8,8,161,"qingdao","2015-05-18"
"ningbo",158,63,30,43,19,13,158,"ningbo","2015-05-18"
