"","PM2.5","PM10","O3","NO2","SO2","CO","AQI","City","Date"
"hefei",119,63,6,43,6,7,119,"hefei",2015-05-12
"fuzhou",93,80,61,23,5,5,93,"fuzhou",2015-05-12
"lanzhou",139,186,120,37,11,12,186,"lanzhou",2015-05-12
"guangzhou",117,65,6,27,12,10,117,"guangzhou",2015-05-12
"guiyang",82,36,46,10,4,7,82,"guiyang",2015-05-12
"haikou",38,16,13,1,1,12,38,"haikou",2015-05-12
"shijiazhuang",70,39,81,28,19,4,81,"shijiazhuang",2015-05-12
"haerbin",21,25,27,16,2,4,27,"haerbin",2015-05-12
"zhengzhou",168,155,62,38,22,12,168,"zhengzhou",2015-05-12
"wuhan",114,80,8,28,19,10,114,"wuhan",2015-05-12
"changsha",112,59,34,22,16,4,112,"changsha",2015-05-12
"nanjing",91,69,49,28,14,0,91,"nanjing",2015-05-12
"nanchang",158,122,155,30,26,16,158,"nanchang",2015-05-12
"changchun",38,20,34,23,2,4,38,"changchun",2015-05-12
"shenyang",156,68,26,33,8,11,156,"shenyang",2015-05-12
"xining",117,69,43,17,4,9,117,"xining",2015-05-12
"xian",164,92,111,25,24,19,164,"xian",2015-05-12
"jinan",97,79,54,10,22,6,97,"jinan",2015-05-12
"taiyuan",162,125,61,35,26,14,162,"taiyuan",2015-05-12
"chengdu",173,126,150,41,23,7,173,"chengdu",2015-05-12
"kunming",78,53,42,11,4,8,78,"kunming",2015-05-12
"hangzhou",104,62,44,40,11,8,104,"hangzhou",2015-05-12
"nanning",114,57,48,17,4,8,114,"nanning",2015-05-12
"huhehaote",82,70,49,27,5,6,82,"huhehaote",2015-05-12
"yinchuan",117,60,31,12,11,10,117,"yinchuan",2015-05-12
"lhasa",72,11,50,23,10,9,72,"lhasa",2015-05-12
"wulumuqi",59,42,78,17,4,9,78,"wulumuqi",2015-05-12
"beijing",132,58,2,34,2,14,132,"beijing",2015-05-12
"chongqing",155,94,38,34,17,7,155,"chongqing",2015-05-12
"hongkong",44,28,27,48,4,5,48,"hongkong",2015-05-12
"zhuhai",80,57,136,15,7,7,136,"zhuhai",2015-05-12
"shanghai",156,54,16,33,14,7,156,"shanghai",2015-05-12
"tianjin",153,90,46,15,13,8,153,"tianjin",2015-05-12
"xiamen",162,30,47,26,26,7,162,"xiamen",2015-05-12
"shenzhen",87,65,190,32,13,10,190,"shenzhen",2015-05-12
"dalian",78,66,46,19,2,6,78,"dalian",2015-05-12
"qingdao",114,94,42,31,35,10,114,"qingdao",2015-05-12
"ningbo",91,55,43,25,13,10,91,"ningbo",2015-05-12
