"","PM2.5","PM10","O3","NO2","SO2","CO","AQI","City","Date"
"hefei",91,67,6,22,3,7,91,"hefei","2015-05-15"
"fuzhou",157,106,189,41,7,9,189,"fuzhou","2015-05-15"
"lanzhou",109,93,69,25,20,11,109,"lanzhou","2015-05-15"
"guangzhou",78,30,6,12,5,6,78,"guangzhou","2015-05-15"
"guiyang",104,63,43,20,8,6,104,"guiyang","2015-05-15"
"haikou",42,21,9,2,1,4,42,"haikou","2015-05-15"
"shijiazhuang",74,37,49,6,5,1,74,"shijiazhuang","2015-05-15"
"haerbin",155,32,27,7,9,5,155,"haerbin","2015-05-15"
"zhengzhou",245,140,113,15,7,16,245,"zhengzhou","2015-05-15"
"wuhan",87,81,6,22,5,9,87,"wuhan","2015-05-15"
"changsha",134,58,16,11,8,6,134,"changsha","2015-05-15"
"nanjing",93,58,61,13,15,0,93,"nanjing","2015-05-15"
"nanchang",97,54,43,24,6,10,97,"nanchang","2015-05-15"
"changchun",85,66,31,38,4,9,85,"changchun","2015-05-15"
"shenyang",87,98,81,16,3,6,98,"shenyang","2015-05-15"
"xining",63,60,61,10,4,7,63,"xining","2015-05-15"
"xian",144,79,175,17,22,17,175,"xian","2015-05-15"
"jinan",169,180,118,22,25,9,180,"jinan","2015-05-15"
"taiyuan",93,88,142,16,13,10,142,"taiyuan","2015-05-15"
"chengdu",164,113,207,26,19,10,207,"chengdu","2015-05-15"
"kunming",72,58,41,6,4,7,72,"kunming","2015-05-15"
"hangzhou",78,33,106,21,4,9,106,"hangzhou","2015-05-15"
"nanning",38,24,20,3,3,6,38,"nanning","2015-05-15"
"huhehaote",104,71,36,29,4,4,104,"huhehaote","2015-05-15"
"yinchuan",149,77,32,17,34,7,149,"yinchuan","2015-05-15"
"lhasa",34,14,83,6,8,6,83,"lhasa","2015-05-15"
"wulumuqi",119,134,56,21,5,14,134,"wulumuqi","2015-05-15"
"beijing",53,27,35,3,2,3,53,"beijing","2015-05-15"
"chongqing",165,110,19,58,11,13,165,"chongqing","2015-05-15"
"hongkong",58,23,2,41,2,5,58,"hongkong","2015-05-15"
"zhuhai",57,34,46,9,3,7,57,"zhuhai","2015-05-15"
"shanghai",104,105,21,23,8,8,105,"shanghai","2015-05-15"
"tianjin",68,46,103,5,2,5,103,"tianjin","2015-05-15"
"xiamen",155,71,65,13,11,8,155,"xiamen","2015-05-15"
"shenzhen",74,23,45,15,5,9,74,"shenzhen","2015-05-15"
"dalian",55,41,201,11,3,9,201,"dalian","2015-05-15"
"qingdao",172,335,31,19,16,12,335,"qingdao","2015-05-15"
"ningbo",137,54,33,26,8,9,137,"ningbo","2015-05-15"
