"","PM2.5","PM10","O3","NO2","SO2","CO","AQI","City","Date"
"hefei",153,57,6,3,4,8,153,"hefei","2015-05-01"
"fuzhou",30,8,50,3,2,6,50,"fuzhou","2015-05-01"
"lanzhou",30,19,62,3,4,4,62,"lanzhou","2015-05-01"
"guangzhou",99,35,7,18,9,8,99,"guangzhou","2015-05-01"
"guiyang",159,74,38,8,11,6,159,"guiyang","2015-05-01"
"haikou",46,20,14,1,1,5,46,"haikou","2015-05-01"
"shijiazhuang",107,77,119,21,10,5,119,"shijiazhuang","2015-05-01"
"haerbin",42,72,36,13,2,8,72,"haerbin","2015-05-01"
"zhengzhou",191,175,43,19,17,21,191,"zhengzhou","2015-05-01"
"wuhan",154,71,35,32,5,18,154,"wuhan","2015-05-01"
"changsha",114,44,22,11,5,10,114,"changsha","2015-05-01"
"nanjing",169,85,108,44,17,0,169,"nanjing","2015-05-01"
"nanchang",114,57,110,10,15,11,114,"nanchang","2015-05-01"
"changchun",61,78,35,21,2,5,78,"changchun","2015-05-01"
"shenyang",38,26,28,12,1,4,38,"shenyang","2015-05-01"
"xining",167,108,44,25,28,13,167,"xining","2015-05-01"
"xian",68,44,61,10,12,18,68,"xian","2015-05-01"
"jinan",190,99,50,18,18,12,190,"jinan","2015-05-01"
"taiyuan",85,62,26,18,4,17,85,"taiyuan","2015-05-01"
"chengdu",152,73,72,39,7,7,152,"chengdu","2015-05-01"
"kunming",102,59,44,4,7,12,102,"kunming","2015-05-01"
"hangzhou",185,107,111,38,11,10,185,"hangzhou","2015-05-01"
"nanning",70,24,50,3,3,8,70,"nanning","2015-05-01"
"huhehaote",25,13,47,6,2,2,47,"huhehaote","2015-05-01"
"yinchuan",152,109,36,2,5,12,152,"yinchuan","2015-05-01"
"lhasa",30,23,45,4,5,4,45,"lhasa","2015-05-01"
"wulumuqi",80,66,62,23,6,9,80,"wulumuqi","2015-05-01"
"beijing",38,35,27,11,2,2,38,"beijing","2015-05-01"
"chongqing",74,40,48,20,4,9,74,"chongqing","2015-05-01"
"hongkong",61,26,6,36,21,2,61,"hongkong","2015-05-01"
"zhuhai",50,23,25,6,3,5,50,"zhuhai","2015-05-01"
"shanghai",168,97,15,41,8,12,168,"shanghai","2015-05-01"
"tianjin",30,28,34,6,1,2,34,"tianjin","2015-05-01"
"xiamen",78,45,33,28,5,6,78,"xiamen","2015-05-01"
"shenzhen",65,28,41,21,6,12,65,"shenzhen","2015-05-01"
"dalian",21,51,39,12,2,7,51,"dalian","2015-05-01"
"qingdao",50,115,31,12,7,13,115,"qingdao","2015-05-01"
"ningbo",189,116,33,36,17,11,189,"ningbo","2015-05-01"
