"","PM2.5","PM10","O3","NO2","SO2","CO","AQI","City","Date"
"hefei",91,79,37,10,13,23,91,"hefei",2015-05-20
"fuzhou",30,34,55,6,2,5,55,"fuzhou",2015-05-20
"lanzhou",59,25,20,5,5,8,59,"lanzhou",2015-05-20
"guangzhou",97,30,2,17,2,7,97,"guangzhou",2015-05-20
"guiyang",142,53,0,7,11,8,142,"guiyang",2015-05-20
"haikou",76,47,12,2,13,28,76,"haikou",2015-05-20
"shijiazhuang",158,108,4,43,16,6,158,"shijiazhuang",2015-05-20
"haerbin",68,57,16,7,4,19,68,"haerbin",2015-05-20
"zhengzhou",144,95,30,16,12,20,144,"zhengzhou",2015-05-20
"wuhan",97,75,35,26,11,8,97,"wuhan",2015-05-20
"changsha",154,63,4,12,4,23,154,"changsha",2015-05-20
"nanjing",107,84,17,15,0,18,107,"nanjing",2015-05-20
"nanchang",147,72,11,11,10,23,147,"nanchang",2015-05-20
"changchun",70,56,28,5,7,20,70,"changchun",2015-05-20
"shenyang",163,87,14,33,18,11,163,"shenyang",2015-05-20
"xining",93,38,8,1,9,7,93,"xining",2015-05-20
"xian",154,52,10,12,13,15,154,"xian",2015-05-20
"jinan",124,67,40,21,12,11,124,"jinan",2015-05-20
"taiyuan",50,33,12,4,14,13,50,"taiyuan",2015-05-20
"chengdu",80,40,14,24,5,8,80,"chengdu",2015-05-20
"kunming",57,23,12,3,6,16,57,"kunming",2015-05-20
"hangzhou",104,57,14,28,15,7,104,"hangzhou",2015-05-20
"nanning",89,40,16,4,7,27,89,"nanning",2015-05-20
"huhehaote",68,57,48,35,5,5,68,"huhehaote",2015-05-20
"yinchuan",82,27,4,3,14,9,82,"yinchuan",2015-05-20
"lhasa",72,21,3,2,7,12,72,"lhasa",2015-05-20
"wulumuqi",59,91,19,8,12,20,91,"wulumuqi",2015-05-20
"beijing",99,56,21,24,2,5,99,"beijing",2015-05-20
"chongqing",112,69,41,9,11,24,112,"chongqing",2015-05-20
"hongkong",30,10,8,42,1,5,42,"hongkong",2015-05-20
"zhuhai",38,19,19,23,4,10,38,"zhuhai",2015-05-20
"shanghai",72,46,45,20,7,4,72,"shanghai",2015-05-20
"tianjin",139,52,32,17,18,12,139,"tianjin",2015-05-20
"xiamen",82,36,0,11,1,6,82,"xiamen",2015-05-20
"shenzhen",55,23,25,24,5,10,55,"shenzhen",2015-05-20
"dalian",65,50,19,8,7,25,65,"dalian",2015-05-20
"qingdao",87,83,17,57,25,7,87,"qingdao",2015-05-20
"ningbo",155,72,49,34,15,8,155,"ningbo",2015-05-20
