"","PM2.5","PM10","O3","NO2","SO2","CO","AQI","City","Date"
"hefei",102,66,5,19,3,5,102,"hefei",2015-05-11
"fuzhou",30,24,111,6,2,3,111,"fuzhou",2015-05-11
"lanzhou",124,159,110,35,32,11,159,"lanzhou",2015-05-11
"guangzhou",55,31,13,19,3,6,55,"guangzhou",2015-05-11
"guiyang",152,69,41,25,7,6,152,"guiyang",2015-05-11
"haikou",42,22,14,4,1,5,42,"haikou",2015-05-11
"shijiazhuang",78,52,44,15,13,3,78,"shijiazhuang",2015-05-11
"haerbin",13,20,30,7,5,4,30,"haerbin",2015-05-11
"zhengzhou",46,32,42,12,12,11,46,"zhengzhou",2015-05-11
"wuhan",1,104,25,12,0,7,104,"wuhan",2015-05-11
"changsha",132,88,30,15,15,5,132,"changsha",2015-05-11
"nanjing",80,97,31,12,8,0,97,"nanjing",2015-05-11
"nanchang",129,75,42,14,19,6,129,"nanchang",2015-05-11
"changchun",42,11,27,11,2,7,42,"changchun",2015-05-11
"shenyang",89,32,37,29,2,5,89,"shenyang",2015-05-11
"xining",112,63,40,19,2,8,112,"xining",2015-05-11
"xian",82,54,42,12,15,13,82,"xian",2015-05-11
"jinan",124,105,26,21,42,9,124,"jinan",2015-05-11
"taiyuan",46,42,41,6,3,8,46,"taiyuan",2015-05-11
"chengdu",160,142,107,45,15,7,160,"chengdu",2015-05-11
"kunming",104,60,64,10,3,8,104,"kunming",2015-05-11
"hangzhou",74,51,32,31,5,2,74,"hangzhou",2015-05-11
"nanning",50,23,78,6,5,7,78,"nanning",2015-05-11
"huhehaote",85,52,41,11,3,5,85,"huhehaote",2015-05-11
"yinchuan",85,40,29,14,28,8,85,"yinchuan",2015-05-11
"lhasa",72,11,50,23,10,9,72,"lhasa",2015-05-11
"wulumuqi",70,84,30,19,4,12,84,"wulumuqi",2015-05-11
"beijing",30,37,29,6,2,3,37,"beijing",2015-05-11
"chongqing",82,68,89,34,18,9,89,"chongqing",2015-05-11
"hongkong",58,26,12,80,7,6,80,"hongkong",2015-05-11
"zhuhai",76,50,31,20,10,10,76,"zhuhai",2015-05-11
"shanghai",147,75,47,22,11,6,147,"shanghai",2015-05-11
"tianjin",61,28,37,6,2,10,61,"tianjin",2015-05-11
"xiamen",70,40,46,9,3,5,70,"xiamen",2015-05-11
"shenzhen",55,45,37,15,7,17,55,"shenzhen",2015-05-11
"dalian",74,34,32,16,7,8,74,"dalian",2015-05-11
"qingdao",107,72,33,16,12,10,107,"qingdao",2015-05-11
"ningbo",55,31,40,12,8,7,55,"ningbo",2015-05-11
